"ensembl_gene_id","PC3MNT1","PC3MNT2","PC3MNT3","PC3MTR1","PC3MTR2","PC3MTR3"
"ENSG00000207451",0,0,0,0,0,0
"ENSG00000238173",0,0,0,0,0,0
"ENSG00000120942",321.728,337.295,317.626,319.236,359.009,322.174
"ENSG00000204624",0.414064,0,0.750888,0.363181,1.1266,0.722363
"ENSG00000132879",69.5628,58.0374,64.201,59.9249,58.583,54.5384
"ENSG00000116663",29.3986,24.1194,29.2846,28.6913,30.7936,30.7004
"ENSG00000162490",4.55471,4.5224,4.12989,6.17408,5.25745,5.41772
"ENSG00000177674",207.446,214.06,226.393,191.397,259.493,199.011
"ENSG00000215910",0.828128,1.50747,0.750888,0.726363,1.87766,1.08354
"ENSG00000199347",0,0,0,0,0,0
"ENSG00000083444",894.793,835.136,841.37,805.173,696.988,740.061
"ENSG00000116688",1037.64,1034.5,1020.46,933.013,937.704,917.762
"ENSG00000116691",68.3206,65.5748,70.5835,65.3727,87.1235,64.6515
"ENSG00000120949",0.414064,0.376866,0.750888,2.17909,0,1.08354
"ENSG00000028137",0.414064,1.50747,0.375444,1.08954,1.50213,0.361181
"ENSG00000263676",0,0,0,0,0,0
"ENSG00000048707",237.673,244.963,264.313,245.874,241.843,299.058
"ENSG00000239149",0,0,0,0,0,0
"ENSG00000204518",0,0,0,0,0,0
"ENSG00000188984",0,0,0,0,0,0
"ENSG00000157330",0,0,0,0.363181,0,0
"ENSG00000116726",0,0,0,0,0,0
"ENSG00000116721",0,0,0,0,0,0
"ENSG00000120952",0,0,0,0,0,0
"ENSG00000204510",0,0,0,0,0,0
"ENSG00000207434",0,0,0,0,0,0
"ENSG00000204508",0,0,0,0,0,0
"ENSG00000204505",0,0,0,0,0,0
"ENSG00000204502",0,0,0,0,0,0
"ENSG00000204501",0,0,0,0,0,0
"ENSG00000204488",0,0,0,0,0,0
"ENSG00000204486",0,0,0,0,0,0
"ENSG00000157358",0,0,0,0,0,0
"ENSG00000204479",0,0,0,0,0,0
"ENSG00000204478",0,0,0,0,0,0
"ENSG00000162493",0,0.376866,0,0,0,0
"ENSG00000116731",201.235,204.262,204.242,249.506,222.691,246.687
"ENSG00000189337",0,0.753733,0,0,0,0.722363
"ENSG00000171729",50.5158,47.4852,51.0604,39.95,45.8149,45.5088
"ENSG00000142621",3.31251,3.01493,3.00355,2.54227,4.13085,2.16709
"ENSG00000142634",685.69,628.99,755.394,691.134,696.237,655.544
"ENSG00000162438",0.414064,2.63806,0.375444,2.54227,0.375532,0
"ENSG00000116138",155.855,155.355,150.809,131.938,137.373,140.9
"ENSG00000252835",0,0,0,0,0,0
"ENSG00000235084",0,0,1.50178,0.363181,1.1266,0
"ENSG00000162461",0,0.376866,0.750888,1.45273,0,0
"ENSG00000162460",0,0,0,0,0,0
"ENSG00000162458",238.915,275.489,246.291,282.555,300.801,282.444
"ENSG00000065526",1067.87,1007.36,1083.16,1321.62,1227.99,1353.35
"ENSG00000224966",0,0,0,0,0,0
"ENSG00000183888",0,0,0,0,0,0
"ENSG00000186510",0,0.376866,0.375444,0,0,0
"ENSG00000184908",0,0.376866,0.375444,0,0,0.361181
"ENSG00000234166",0.414064,0.376866,0,0.726363,0,0
"ENSG00000055070",1415.27,1535.35,1401.53,1317.26,1438.66,1378.99
"ENSG00000157191",366.033,393.072,341.654,321.416,365.393,356.847
"ENSG00000268674",0,0,0,0,0,0
"ENSG00000186301",5.7969,2.63806,0.750888,1.08954,1.1266,0
"ENSG00000237847",0,0,0,0,0,0
"ENSG00000058453",27.3282,17.7127,32.6636,23.6068,18.4011,17.3367
"ENSG00000207389",0,0,0,0,0,0
