"ensembl_gene_id","PC3_NT1","PC3_NT2","PC3_NT3","PC3_TR1","PC3_TR2","PC3_TR3"
"ENSG00000171819",0.350665,0,0,0.383039,0,0
"ENSG00000207451",0,0,0,0,0,0
"ENSG00000238173",0,0,0,0,0,0
"ENSG00000120942",320.507,346.719,257.062,329.03,313.984,259.845
"ENSG00000204624",1.05199,1.07565,2.28838,2.68127,1.19386,0.75978
"ENSG00000132879",92.9261,79.5985,76.2795,64.3505,65.6621,56.9835
"ENSG00000116663",66.9769,63.1051,70.9399,65.8827,61.2846,53.1846
"ENSG00000162490",1.75332,2.15131,0.762795,1.14912,0.397952,0.75978
"ENSG00000177674",95.0301,115.454,118.233,123.338,101.478,93.073
"ENSG00000215910",2.10399,1.79276,0.762795,0.383039,0.795904,0
"ENSG00000199347",0,0,0,0,0,0
"ENSG00000083444",741.656,754.751,814.283,857.624,723.476,803.467
"ENSG00000116688",802.321,767.659,888.656,793.656,797.495,904.138
"ENSG00000116691",64.8729,60.5952,69.7957,61.2862,62.8764,67.6204
"ENSG00000120949",0,0,0.762795,0,0,1.13967
"ENSG00000028137",1.40266,2.50986,1.52559,2.29823,2.38771,0
"ENSG00000263676",0,0,0,0,0,0
"ENSG00000048707",194.97,205.092,169.722,242.464,202.955,225.655
"ENSG00000239149",0,0,0,0,0,0
"ENSG00000204518",0,0,0,0,0,0
"ENSG00000188984",0,0,0,0,0,0
"ENSG00000157330",0,0,0,0,0,0
"ENSG00000116726",0,0,0,0,0,0
"ENSG00000116721",0,0,0,0,0,0
"ENSG00000120952",0,0,0,0,0,0
"ENSG00000204510",0,0,0,0,0,0
"ENSG00000207434",0,0,0,0,0,0
"ENSG00000204508",0,0,0,0,0,0
"ENSG00000204505",0,0,0,0,0,0
"ENSG00000204502",0,0,0,0,0,0
"ENSG00000204501",0,0,0,0,0,0
"ENSG00000204488",0,0,0,0,0,0
"ENSG00000204486",0,0,0,0,0,0
"ENSG00000157358",0,0,0,0,0,0
"ENSG00000204479",0,0,0,0,0,0
"ENSG00000204478",0,0,0,0,0,0
"ENSG00000162493",0.701329,0,2.66978,0.766078,1.98976,1.51956
"ENSG00000116731",210.749,227.322,175.443,232.505,251.108,234.772
"ENSG00000189337",11.2213,9.68089,8.77214,5.74558,3.18361,8.35758
"ENSG00000171729",38.5731,44.8189,40.0467,26.4297,33.03,34.1901
"ENSG00000142621",0.350665,0.358552,1.90699,1.14912,0.397952,0
"ENSG00000142634",747.617,780.925,690.71,706.323,711.538,715.333
"ENSG00000162438",2.80532,1.07565,3.43258,2.29823,2.78566,3.03912
"ENSG00000116138",108.005,124.417,104.548,97.6749,100.284,96.8719
"ENSG00000252835",0,0,0,0,0,0
"ENSG00000235084",0,0.358552,0.381397,0.383039,0,1.51956
"ENSG00000162461",1.40266,0,0.762795,1.53216,1.19386,0.75978
"ENSG00000162460",0,0,0,0,0,0
"ENSG00000162458",775.67,711.725,536.245,869.115,867.933,517.03
"ENSG00000065526",582.805,659.376,564.468,930.784,883.055,942.507
